titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,mainDirector,numVotes,mainDirectorBirthYear,mainDirectorDeathYear,MainDirectorPrimaryProfession,mainWriter,mainWriterBirthYear,mainWriterDeathYear,MainWriterPrimaryProfession,titleLength,genderVoters,worldPromotion,Downloads,prefVotersCountry,firstShownCountry,Cash,rating
tvEpisode,Yukon,Yukon,0,2011,\N,\N,Documentary,Ed Hatton,7,\N,\N,"producer,assistant_director,director",Chris Aikenhead,\N,\N,"writer,editor,sound_department",5,1.0,0,2029,VI,PE,49670,7.67
movie,Dead Man's Curve,Dead Man's Curve,0,1998,\N,91,"Drama,Mystery,Romance",Dan Rosen,4122,1963,\N,"writer,producer,director",Dan Rosen,1963,\N,"writer,producer,director",16,778.0,1,6305,TG,AU,30632,6.55
short,Eyes,Eyes,0,2013,\N,5,"Drama,Short",Hezal Dilan Sari,9,\N,\N,"director,actor,producer",Ramazan Sari,\N,\N,"director,writer,editor",4,9.0,0,1689,MO,AU,24149,7.19
movie,The Wrong Guys,The Wrong Guys,0,1988,\N,86,Comedy,Danny Bilson,664,1956,\N,"writer,producer,director",Paul De Meo,1953,2018,"writer,producer,art_department",14,442.0,0,-1,DO,CD,58474,6.06
short,The Editor,The Editor,0,2008,\N,8,"Comedy,Short",Michael Licisyn,18,1983,\N,"cinematographer,editor,writer",Michael Licisyn,1983,\N,"cinematographer,editor,writer",10,0.0,0,7895,BT,MQ,25050,5.82
movie,The Shipping News,The Shipping News,0,2001,\N,111,Drama,Lasse Hallström,30400,1946,\N,"director,writer,editor",Annie Proulx,1935,\N,"writer,soundtrack",17,10151.0,0,448,PE,GW,15241,7.05
tvEpisode,What's Love Got to Do with It,What's Love Got to Do with It,0,2009,\N,20,Comedy,Lynn M. McCracken,6,\N,\N,"assistant_director,miscellaneous,director",James Berg,\N,\N,"producer,writer,actor",29,2.0,1,1919,IO,PM,42481,7.7
movie,Honor and Glory,Zong heng tian xia,0,1993,\N,84,Action,Godfrey Ho,385,1948,\N,"director,writer,assistant_director",Herb Borkland,\N,\N,writer,18,328.0,0,8145,SI,MN,5050,5.12
movie,The Missing Picture,L'image manquante,0,2013,\N,92,Documentary,Rithy Panh,2670,1964,\N,"director,writer,producer",Rithy Panh,1964,\N,"director,writer,producer",17,1840.0,1,7426,SK,IM,44488,6.8
tvSeries,Saaya,Saaya,0,1998,1999,\N,Romance,Sanjay Upadhyay,7,\N,\N,"director,writer,assistant_director",Abhiram Bhadkamkar,\N,\N,"writer,actor,director",5,3.0,1,4543,SA,MS,23688,7.02
tvMovie,SUBWAYStories: Tales from the Underground,SUBWAYStories: Tales from the Underground,0,1997,\N,80,Drama,Lucas Platt,1170,\N,\N,"producer,director,camera_department",Adam Brooks,1956,\N,"writer,producer,director",41,43.0,1,8472,AI,PW,43272,6.07
movie,Isdraken,Isdraken,0,2012,\N,80,Adventure,Martin Högdahl,207,\N,\N,"director,actor,writer",Mikael Engström,\N,\N,writer,8,53.0,1,5855,ET,GP,5260,7.06
video,Transmorphers,Transmorphers,0,2007,\N,86,"Action,Sci-Fi,Thriller",Leigh Scott,4210,1972,\N,"producer,writer,director",Leigh Scott,1972,\N,"producer,writer,director",13,2591.0,1,-1,FI,SM,20071,3.79
movie,Rampage,Rampage,0,2009,\N,85,"Action,Crime,Thriller",Uwe Boll,16851,1965,\N,"producer,director,writer",Uwe Boll,1965,\N,"producer,director,writer",7,10348.0,0,821,HM,BR,44785,6.18
short,Mes copains,Mes copains,0,2008,\N,26,Short,Louis Garrel,55,1983,\N,"actor,director,writer",Louis Garrel,1983,\N,"actor,director,writer",11,5.0,1,-1,AZ,TW,31037,6.53
movie,May,May,0,2007,\N,\N,Drama,Marat Rafikov,69,1959,\N,"director,writer,actor",Ilya Rubinshteyn,1962,\N,"writer,director,actor",3,63.0,0,-1,JP,AW,30416,6.12
short,Beast,Beast,0,2005,\N,10,"Adventure,Short",Jason Impey,16,1984,\N,"director,editor,cinematographer",Jason Impey,1984,\N,"director,editor,cinematographer",5,5.0,0,4801,GE,MU,24273,7.62
tvSeries,The Goldbergs,The Goldbergs,0,2013,\N,22,Comedy,David Katzenberg,23782,1983,\N,"producer,director,writer",Adam F. Goldberg,1976,\N,"producer,writer,actor",13,20629.0,0,8097,FO,KE,20795,7.0
tvSeries,Girls,Girls,0,2012,2017,28,"Comedy,Drama",Jody Lee Lipes,59377,1982,\N,"cinematographer,director,camera_department",Lena Dunham,1986,\N,"writer,actress,producer",5,50313.0,0,-1,SA,MH,31004,7.36
short,"Good Night, Dear","Nat, skat",0,1968,\N,1,Short,Lars von Trier,84,1956,\N,"writer,director,producer",Lars von Trier,1956,\N,"writer,director,producer",9,71.0,0,7891,BL,DJ,37514,3.58
tvEpisode,Tommy,Tommy,0,2018,\N,25,"Comedy,Drama,Romance",Simarpreet Singh,15,\N,\N,"director,assistant_director,actor",Kunal Aneja,\N,\N,"writer,actor,assistant_director",5,15.0,0,4411,SM,IM,29212,7.46
tvEpisode,Sweet Charity,Sweet Charity,0,1997,\N,22,Comedy,Leonard R. Garner Jr.,48,\N,\N,"director,assistant_director,miscellaneous",Steven Levitan,1962,\N,"producer,writer,director",13,21.0,0,6115,NE,UY,40530,7.57
movie,At the Circus,At the Circus,0,1939,\N,87,"Comedy,Musical",Edward Buzzell,4946,1895,1985,"director,actor,writer",Irving Brecher,1914,2008,"producer,writer,director",13,3195.0,0,3150,IQ,MR,53317,6.59
tvEpisode,Buried,Buried,0,2018,\N,47,\N,Magnus Martens,1254,1973,\N,"director,writer,producer",Robert Kirkman,1978,\N,"writer,producer",6,441.0,1,-1,MX,VA,30815,7.56
movie,Félix & Meira,Félix et Meira,0,2014,\N,105,"Drama,Romance",Maxime Giroux,1208,\N,\N,"director,writer,producer",Maxime Giroux,\N,\N,"director,writer,producer",14,9.0,0,-1,GT,TG,54813,6.41
movie,Ultimate Heist,Le premier cercle,0,2009,\N,95,"Crime,Drama,Thriller",Laurent Tuel,2958,\N,\N,"director,writer,actor",Laurent Tuel,\N,\N,"director,writer,actor",17,1843.0,0,1649,HK,VC,35123,6.03
short,The Box,The Box,0,2006,\N,10,"Drama,Short",Edward McCain,10,\N,\N,"director,writer,cinematographer",Edward McCain,\N,\N,"director,writer,cinematographer",7,9.0,0,141,MQ,MW,9985,6.14
tvEpisode,The Chase,The Chase,0,1983,\N,\N,"Action,Adventure",Daniel Haller,23,1926,\N,"director,art_director,production_designer",Glen A. Larson,1937,2014,"writer,producer,music_department",9,2.0,0,5972,CF,AI,35324,7.12
movie,Vendetta,Vendetta,0,2013,\N,106,"Action,Thriller",Stephen Reynolds,3195,\N,\N,"director,writer,editor",Stephen Reynolds,\N,\N,"director,writer,editor",8,79.0,1,4683,SD,GL,54008,4.76
tvSeries,Adventures of Superman,Adventures of Superman,0,1952,1958,30,"Action,Adventure,Crime",Thomas Carr,2704,1907,1997,"director,actor,producer",David T. Chantler,1925,2012,"writer,miscellaneous",22,672.0,1,-1,VA,SG,12799,5.54
movie,The Secret Agent,The Secret Agent,0,2015,\N,\N,Drama,Stan Douglas,8,\N,\N,"director,writer,producer",Stan Douglas,\N,\N,"director,writer,producer",16,4.0,1,5560,LY,BV,37054,6.24
movie,Wide Sargasso Sea,Wide Sargasso Sea,0,2011,\N,74,Documentary,Letícia Simões,8,\N,\N,"writer,director,editor",Letícia Simões,\N,\N,"writer,director,editor",17,8.0,1,5374,DJ,IL,25236,6.09
tvEpisode,Swingers,Swingers,0,1988,\N,24,"Comedy,Drama,Family",Neal Marlens,287,\N,\N,"writer,producer,director",Neal Marlens,\N,\N,"writer,producer,director",8,29.0,0,-1,SI,HM,4679,6.57
tvMovie,Fall of Hyperion,Fall of Hyperion,0,2008,\N,\N,Action,Rex Piano,82,\N,\N,"director,producer,assistant_director",John Cleland,\N,\N,"director,producer,writer",16,31.0,1,7882,AE,CC,41817,3.53
tvMovie,Fly Away Home,Fly Away Home,0,1981,\N,100,"Drama,War",Paul Krasny,41,1935,2001,"director,editorial_department,production_manager",Stirling Silliphant,1918,1996,"writer,miscellaneous,producer",13,35.0,0,7807,VC,MV,56257,7.65
tvEpisode,Activities,Activities,0,2015,\N,\N,Comedy,David Wain,514,1969,\N,"writer,actor,producer",Michael Showalter,1970,\N,"writer,actor,producer",10,211.0,0,6201,DM,CU,55435,5.8
movie,"Birds, Orphans and Fools","Vtáckovia, siroty a blázni",0,1969,\N,78,"Comedy,Drama,Fantasy",Juraj Jakubisko,610,1938,\N,"director,writer,cinematographer",Juraj Jakubisko,1938,\N,"director,writer,cinematographer",26,11.0,0,6754,NP,ME,14434,7.59
movie,Mermaids,Mermaids,0,1990,\N,110,"Comedy,Drama,Romance",Richard Benjamin,25250,1938,\N,"actor,director,producer",Patty Dann,1953,\N,writer,8,1085.0,1,5352,PS,BL,1915,7.62
tvEpisode,Betrayal,Betrayal,0,1989,\N,\N,"Comedy,Family",Jonathan Weiss,8,\N,\N,"assistant_director,miscellaneous,director",Dan Guntzelman,\N,\N,"producer,writer,director",8,5.0,0,510,CY,VC,45386,7.31
tvEpisode,Evil Under the Sun,Evil Under the Sun,0,2001,\N,98,"Crime,Drama,Mystery",Brian Farnham,1462,\N,\N,"director,producer",Agatha Christie,1890,1976,"writer,camera_department",18,686.0,0,7554,AI,LS,15732,7.59
video,Flash III: Deadly Nightshade,Flash III: Deadly Nightshade,0,1992,\N,88,"Action,Sci-Fi",Bruce Bilson,287,1928,\N,"director,assistant_director,producer",Howard Chaykin,1950,\N,"writer,miscellaneous,art_department",28,146.0,0,6723,ST,CR,60782,5.94
tvEpisode,Dream On,Dream On,0,2010,\N,60,"Comedy,Drama,Music",Joss Whedon,1450,1964,\N,"writer,producer,director",Ryan Murphy,1965,\N,"writer,producer,music_department",8,1204.0,1,4426,IR,ST,27683,7.26
movie,The Gestapo's Last Orgy,L'ultima orgia del III Reich,0,1977,\N,92,"Horror,War",Cesare Canevari,1031,1927,2012,"director,writer,actor",Cesare Canevari,1927,2012,"director,writer,actor",28,64.0,1,9082,TO,LS,5565,4.14
movie,Held for Ransom,Held for Ransom,0,1976,\N,89,"Crime,Drama,Thriller",Bruce Lood,11,\N,\N,"producer,director,cinematographer",Bruce Lood,\N,\N,"producer,director,cinematographer",15,8.0,1,9846,ZM,ET,28432,4.56
movie,Dead Girl,Dead Girl,0,1996,\N,104,Comedy,Adam Coleman Howard,239,\N,\N,"actor,director,writer",Adam Coleman Howard,\N,\N,"actor,director,writer",9,201.0,0,5100,PS,CG,54422,6.53
movie,Intruders,Intruders,0,2011,\N,100,"Fantasy,Horror,Thriller",Juan Carlos Fresnadillo,19011,1967,\N,"producer,director,writer",Nicolás Casariego,\N,\N,writer,9,2243.0,1,9683,DK,JO,43107,5.36
tvEpisode,Chinatown,Chinatown,0,2018,\N,43,"Action,Adventure,Drama",Greg Beeman,920,1962,\N,"producer,director,actor",Eric Kripke,1974,\N,"writer,producer,miscellaneous",9,629.0,1,4933,AQ,FK,30346,7.75
movie,The Line,The Line,0,2007,\N,95,"Action,Crime,Drama",Michael Adante,55,1979,\N,"director,writer,producer",Michael Adante,1979,\N,"director,writer,producer",8,19.0,1,1561,NF,PS,4564,8.11
tvEpisode,Pride and Prejudice,Pride and Prejudice,0,1997,\N,43,"Drama,Romance",Harvey Frost,57,\N,\N,"director,writer,producer",Darren Star,1961,\N,"writer,producer,miscellaneous",19,56.0,1,-1,SZ,HM,53808,8.83
tvEpisode,The Conversation,The Conversation,0,2012,\N,59,"Crime,Drama",Nelson McCormick,153,\N,\N,"director,producer,writer",Farhad Safinia,1975,\N,"writer,producer,miscellaneous",16,137.0,0,7809,MK,FJ,4622,7.64
movie,Valentine's Day,Valentine's Day,0,2008,\N,56,"Comedy,Thriller",James Breen,16,\N,\N,"writer,director,producer",James Breen,\N,\N,"writer,director,producer",15,12.0,0,-1,KH,BW,962,6.73
movie,Jennifer's Body,Jennifer's Body,0,2009,\N,102,"Comedy,Horror",Karyn Kusama,102972,1968,\N,"director,writer,producer",Diablo Cody,1978,\N,"writer,producer,actress",15,94066.0,0,9826,SC,FK,31224,5.61
movie,Steele Justice,Steele Justice,0,1987,\N,95,"Action,Crime,Drama",Robert Boris,436,1945,\N,"writer,producer,director",Robert Boris,1945,\N,"writer,producer,director",14,430.0,0,170,SE,QA,48185,5.06
tvEpisode,"Violence Jack, Part 2: Hell City - Evil Town",Baiorensu jakku: jigoku-gai-hen,0,1988,\N,58,"Action,Animation,Drama",Ichirô Itano,263,1959,\N,"director,visual_effects,animation_department",Shô Aikawa,\N,\N,"writer,miscellaneous",31,31.0,0,6450,LU,TC,27723,5.85
tvEpisode,Love,Love,0,1996,\N,\N,"Crime,Drama",David Evans,9,\N,\N,"director,producer,cinematographer",Kay Mellor,1951,\N,"writer,producer,actress",4,4.0,1,2468,LS,BH,25278,6.33
short,Second Best,Second Best,0,2018,\N,20,"Comedy,Short",Alyssa McClelland,6,1981,\N,"actress,producer,director",Alyssa McClelland,1981,\N,"actress,producer,director",11,5.0,1,4252,SI,EG,31691,7.45
movie,Flesh and Fantasy,Flesh and Fantasy,1,1985,\N,\N,"Adult,Comedy",Gerard Damiano,42,1928,2008,"director,writer,producer",Gerard Damiano,1928,2008,"director,writer,producer",17,26.0,0,-1,GH,KH,57388,7.01
tvEpisode,Shaolin,Shaolin,0,2013,\N,23,"Adventure,Animation",Jean-Luc François,5,\N,\N,"director,actor,animation_department",Jean Chalopin,1950,\N,"producer,writer,miscellaneous",7,2.0,1,3284,KG,RO,18479,6.84
tvEpisode,The Buccaneer,The Buccaneer,0,1965,\N,52,"Adventure,Sci-Fi",Laslo Benedek,34,1905,1992,"director,assistant_director,editor",Irwin Allen,1916,1991,"producer,writer,director",13,31.0,0,8972,GN,TN,19481,6.49
movie,Valentino,Valentino,0,1977,\N,128,"Biography,Drama",Ken Russell,1407,1927,2011,"director,writer,actor",Ken Russell,1927,2011,"director,writer,actor",9,774.0,1,8463,CH,BJ,45818,6.84
tvEpisode,The Good Son,The Good Son,0,1999,\N,22,"Comedy,Romance",David Trainer,665,\N,\N,"director,producer,writer",Bonnie Turner,1940,\N,"writer,producer,miscellaneous",12,128.0,1,5919,PH,IO,59602,7.51
movie,One Life,One Life,0,2011,\N,85,"Documentary,Family",Michael Gunton,2190,\N,\N,"producer,miscellaneous,director",Michael Gunton,\N,\N,"producer,miscellaneous,director",8,542.0,0,-1,HU,BH,41350,8.16
short,Hunter,Hunter,0,2007,\N,18,"Drama,Short",Julien Guerif,7,\N,\N,"writer,editor,director",Julien Guerif,\N,\N,"writer,editor,director",6,5.0,1,-1,CV,BB,15014,6.75
movie,Found,Found,0,2012,\N,103,"Drama,Horror,Thriller",Scott Schirmer,3191,\N,\N,"director,editor,writer",Todd Rigney,\N,\N,"writer,actor,art_department",5,2477.0,1,7683,NG,AQ,20271,5.88
movie,Kagemusha,Kagemusha,0,1980,\N,180,"Drama,History,War",Akira Kurosawa,27521,1910,1998,"writer,director,assistant_director",Masato Ide,1922,1989,"writer,miscellaneous,animation_department",9,16791.0,1,4264,AF,LU,27669,7.83
tvEpisode,Christmas Special,Christmas Special,0,2008,\N,\N,Comedy,Becky Martin,11,\N,\N,"director,producer,location_management",Andrew Dawson,\N,\N,"writer,miscellaneous,actor",17,1.0,1,1226,MF,CV,39695,6.32
short,The Night Before Christmas,The Night Before Christmas,0,1905,\N,9,"Animation,Family,Fantasy",Edwin S. Porter,362,1870,1941,"director,cinematographer,writer",Clement Moore,1779,1863,"writer,soundtrack",26,17.0,1,3256,TL,RS,45037,8.15
movie,That Forsyte Woman,That Forsyte Woman,0,1949,\N,113,"Drama,Romance",Compton Bennett,992,1900,1974,"director,writer,editor",John Galsworthy,1867,1933,"writer,actor",18,367.0,0,6632,JM,VE,48184,6.92
tvEpisode,Innocents,Innocents,0,1985,\N,\N,"Crime,Drama",Allan Eastman,5,1950,\N,"director,producer,actor",Bruce Martin,\N,\N,writer,9,1.0,1,7091,KG,CF,24678,7.19
movie,Tree Without Leaves,Rakuyôju,0,1986,\N,105,Drama,Kaneto Shindô,936,1912,2012,"writer,director,art_director",Kaneto Shindô,1912,2012,"writer,director,art_director",8,902.0,0,-1,TJ,WF,10042,7.63
movie,New World,New World,0,2002,\N,\N,"Action,Drama,Fantasy",Peter John Ross,31,1972,\N,"producer,composer,writer",Milan A. Cargould,\N,\N,"actor,writer,producer",9,9.0,0,1193,NF,BH,20385,6.78
tvEpisode,Shot Through the Heart,Shot Through the Heart,0,2006,\N,\N,"Documentary,Drama",F. Paul Benz,7,1966,2011,"producer,editor,director",Travis L. Fields,\N,\N,"miscellaneous,writer,producer",22,3.0,0,2589,CX,SJ,50178,7.0
video,Beyond the Rave,Beyond the Rave,0,2008,\N,93,"Horror,Thriller",Matthias Hoene,372,\N,\N,"director,writer,producer",Tom Grass,\N,\N,writer,15,21.0,1,4249,SZ,NE,18990,5.58
movie,The Car,The Car,0,1997,\N,\N,Comedy,Rajasenan,136,\N,\N,"director,writer,actor",Rajan Kiriyath,\N,\N,writer,7,119.0,0,2698,GM,AL,26220,6.66
movie,My Letter to George,Mesmerized,0,1985,\N,94,Drama,Michael Laughlin,709,\N,\N,"producer,writer,director",Jerzy Skolimowski,1938,\N,"writer,actor,director",10,95.0,1,3204,SH,MO,48662,5.74
movie,Shakedown,Shakedown,0,1950,\N,80,"Crime,Drama,Film-Noir",Joseph Pevney,142,1911,2008,"director,actor,producer",Nat Dallinger,\N,\N,writer,9,34.0,0,-1,PH,ZW,3150,3.27
movie,Reverie,Reverie,0,2009,\N,87,Drama,Geoffrey Stewart,27,\N,\N,"actor,director,writer",Geoffrey Stewart,\N,\N,"actor,director,writer",7,4.0,0,1979,IQ,AW,30107,6.16
short,I Just Want to Kiss You,I Just Want to Kiss You,0,1998,\N,11,Short,Jamie Thraves,127,1969,\N,"director,writer,producer",Jamie Thraves,1969,\N,"director,writer,producer",23,106.0,1,-1,CM,MU,61093,6.67
movie,Happy Death Day,Happy Death Day,0,2017,\N,96,"Horror,Mystery,Thriller",Christopher Landon,64486,1975,\N,"writer,producer,director",Scott Lobdell,1963,\N,"writer,producer,miscellaneous",15,28933.0,1,8191,GR,ET,25164,6.48
short,Assassin's Creed: Embers,Assassin's Creed: Embers,0,2011,\N,21,"Action,Animation,Drama",Laurent Bernier,1745,\N,\N,"visual_effects,editorial_department,animation_department",Darby McDevitt,\N,\N,writer,24,1509.0,0,8264,TD,PG,22765,7.38
movie,Altered Species,Altered Species,0,2001,\N,91,"Horror,Thriller",Serge Rodnunsky,429,\N,\N,"actor,director,writer",Serge Rodnunsky,\N,\N,"actor,director,writer",15,405.0,1,-1,LC,VU,57291,2.77
tvEpisode,Unearthed,Unearthed,0,2009,\N,23,"Action,Animation,Family",Butch Lukic,42,\N,\N,"art_department,director,producer",Joe Casey,\N,\N,"writer,producer,miscellaneous",9,7.0,1,6560,PF,CX,8576,4.03
short,Passing Hearts,En del av mitt hjärta,0,2004,\N,15,Short,Johan Brisinger,167,\N,\N,"director,writer,editorial_department",Johan Brisinger,\N,\N,"director,writer,editorial_department",21,155.0,1,1412,IL,KW,32008,7.59
tvEpisode,The Gift,The Gift,0,1978,\N,48,Drama,Marc Daniels,6,1912,1989,"director,producer,actor",Ronald Rubin,\N,\N,"producer,writer,miscellaneous",8,6.0,0,4902,NA,KZ,12335,6.41
tvSeries,Melissa & Joey,Melissa & Joey,0,2010,2015,30,"Comedy,Romance",Rob Schiller,16366,\N,\N,"director,producer,miscellaneous",David Kendall,\N,\N,"producer,writer,director",14,16011.0,0,8101,VN,CZ,22926,7.33
tvMovie,The Spiral Staircase,The Spiral Staircase,0,2000,\N,88,"Drama,Mystery,Thriller",James Head,339,\N,\N,"director,camera_department,assistant_director",Ethel Lina White,1876,1944,writer,20,138.0,0,7398,AI,FO,2997,7.1
